# tracer: nop
#
# entries-in-buffer/entries-written: 30289/30289   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
    pcm-memory.x-7518  [004] ....  1930.184890: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184901: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184912: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184922: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184933: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184944: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184954: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184965: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184976: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184986: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184999: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185010: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185021: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185033: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185044: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185055: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185066: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185079: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185090: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185101: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185112: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185123: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185134: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185145: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185156: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185167: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185178: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185189: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185200: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185222: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185235: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185247: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185259: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185271: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185282: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185294: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185305: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185316: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185327: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185339: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185350: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185361: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185373: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185384: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185395: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185406: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185417: tlb_flush: pages:1 reason:local mm shootdown (3)
