# tracer: nop
#
# entries-in-buffer/entries-written: 27230/27230   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
    pcm-memory.x-7364  [008] ....  1669.098294: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098301: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098308: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098315: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098323: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098330: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098337: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098344: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098352: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098359: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098366: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098374: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098382: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098389: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098396: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098403: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098411: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098418: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098425: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098432: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098440: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098447: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098455: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098462: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098469: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098476: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098483: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098490: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098502: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098510: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098518: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098525: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098533: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098540: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098548: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098555: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098563: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098571: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098578: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098586: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098593: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098602: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098610: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098617: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098624: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098632: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098639: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098646: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098656: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098663: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098671: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098678: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098685: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098692: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098699: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098707: tlb_flush: pages:1 reason:local mm shootdown (3)
