# tracer: nop
#
# entries-in-buffer/entries-written: 11636/11636   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-8196  [001] .... 155298.198151: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8197  [011] .... 155298.219555: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219562: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219569: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219576: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219584: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219591: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219599: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219606: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219613: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219620: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219627: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219635: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219642: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219649: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219656: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219668: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219675: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219682: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219689: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219696: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219703: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219710: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219718: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219725: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219732: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219739: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219746: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219754: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219761: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219768: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219775: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219782: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219798: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219806: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219814: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219821: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219828: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219836: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219843: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219851: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219858: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219865: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219872: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219879: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219886: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219894: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219901: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219908: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219915: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219922: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219929: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219936: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219944: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219951: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219958: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219965: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219972: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219979: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219987: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219994: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.220001: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.220008: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.220015: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.220023: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.220030: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.220038: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.220045: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.220052: tlb_flush: pages:1 reason:local mm shootdown (3)
